node1,node2,trail,distance,color,type_en
ob_bauernalm_tal,ob_bauernalm_berg,O1,422,green,Lift
ob_bauernalm_berg,ob_bauernalm_mid,7a,144,red,Slope
ob_bauernalm_mid,ob_bauernalm_tal,7a,144,red,Slope
ob_tauwiesen_tal,ob_tauwiesen_berg,O3,227,green,Lift
ob_tauwiesen_berg,ob_bauernalm_tal,9,69,blue,Slope
ob_bauernalm_berg,ob_stj_conn_mid,6,63,blue,Slope
ob_stj_conn_mid,ob_penz_tal,6,125,blue,Slope
ob_penz_tal,ob_tauwiesen_tal,6a,188,blue,Slope
ob_penz_tal,ob_penz_berg,O2,513,green,Lift
ob_penz_berg,ob_bauernalm_berg,7,58,black,Slope
ob_penz_berg,ob_penz_mid,6,45,blue,Slope
ob_penz_mid,ob_bauernalm_berg,6,45,blue,Slope
ob_stj_conn_mid,stj_ob_conn_lower,12,105,blue,Slope
stj_harsch_tal,stj_harsch_mid,H1,590,green,Lift
stj_harsch_mid,stj_harsch_berg,H2,362,green,Lift
stj_harsch_berg,ob_penz_berg,5,82,red,Slope
ob_penz_berg,stj_ob_conn_upper,5,58,red,Slope
stj_ob_conn_upper,stj_angerer_upper,5,50,red,Slope
stj_angerer_upper,stj_angereralm,5,35,red,Slope
stj_harsch_mid,ob_stj_conn_mid,11,48,blue,Slope
stj_harsch_berg,stj_jodlalm_berg,4,55,red,Slope
stj_jodlalm_berg,stj_ob_conn_upper,5,63,red,Slope
stj_jodlalm_berg,stj_angerer_upper,4,85,red,Slope
stj_angereralm,stj_harsch_mid,5,20,red,Slope
stj_angereralm,stj_speichersee_upper,4,50,red,Slope
stj_harsch_mid,stj_speichersee_upper,4a,33,blue,Slope
stj_speichersee_upper,stj_speichersee_lower,4a,35,blue,Slope
stj_speichersee_lower,stj_jodlalm_tal,4a,100,blue,Slope
stj_speichersee_lower,stj_buchwies,4b,110,red,Slope
stj_buchwies,stj_harsch_tal,4a,175,blue,Slope
stj_jodlalm_tal,stj_buchwies,4a,93,blue,Slope
stj_jodlalm_tal,stj_jodlalm_berg,E3,960,green,Lift
stj_jodlalm_berg,stj_eichenhof_sportiv_upper,3,125,red,Slope
stj_eichenhof_sportiv_upper,stj_eichenhof2_berg,3,20,red,Slope
stj_eichenhof2_berg,stj_jodlalm_tal,3,157,red,Slope
stj_ob_conn_lower,stj_harsch_tal,5a,245,blue,Slope
stj_eichenhof_sportiv_upper,stj_eichenhof_sportiv_mid,2,113,red,Slope
stj_eichenhof_sportiv_mid,stj_eichenhof2_tal,2,113,red,Slope
stj_eichenhof2_berg,stj_grander_upper,1,98,red,Slope
stj_grander_upper,stj_eichenhof2_tal,1,98,red,Slope
stj_eichenhof2_tal,stj_eichenhof2_berg,E2,580,green,Lift
stj_eichenhof2_tal,stj_eichenhof_upper,1a,85,blue,Slope
stj_eichenhof_upper,stj_eichenhof1_tal,1a,35,blue,Slope
stj_eichenhof1_tal,stj_eichenhof2_tal,E1,379,green,Lift
stj_eichenhof_upper,stj_tannlift_mid,1a,20,blue,Slope
stj_tannlift_mid,stj_tannlift_tal,1a,30,blue,Slope
stj_tannlift_mid,stj_eichenhof1_tal,1a,30,blue,Slope
stj_tannlift_tal,stj_tannlift_berg,E4,187,green,Lift
stj_tannlift_berg,stj_tannlift_mid,1a,20,blue,Slope
stj_harsch_mid,stj_ob_conn_lower,5a,73,blue,Slope
