id,X,Y
ob_bauernalm_tal,293,165
ob_bauernalm_berg,205,101
ob_tauwiesen_tal,288,170
ob_tauwiesen_berg,270,157
ob_penz_tal,210,147
ob_penz_berg,200,86
ob_bauernalm_mid,255,124
ob_penz_mid,213,93
stj_harsch_tal,115,180
stj_harsch_berg,183,77
stj_ob_conn_lower,168,124
ob_stj_conn_mid,195,110
stj_ob_conn_upper,181,92
stj_angereralm,171,102
stj_harsch_mid,169,112
stj_jodlalm_berg,171,88
stj_angerer_upper,175,97
stj_speichersee_upper,158,114
stj_speichersee_lower,136,121
stj_jodlalm_tal,106,130
stj_eichenhof_sportiv_upper,141,106
stj_eichenhof2_berg,131,108
stj_buchwies,118,147
stj_eichenhof2_tal,60,147
stj_grander_upper,91,133
stj_eichenhof_upper,26,167
stj_eichenhof1_tal,13,179
stj_tannlift_berg,36,171
stj_tannlift_tal,24,182
stj_tannlift_mid,27,173
stj_eichenhof_sportiv_mid,89,122
